Generation|BestFitness|AverageFitnessPopulation|BestMaxDistance|BestMaxDistanceTime|BestNumberOfWheels|BestCarMass|BestIsRoadComplete
1|3.62085723876953|1.44896596968174|476.5999|61.80046|7|134.5|False
2|3.50613975524902|1.2705748051405|445.2386|59.6344|8|281|False
3|4.22910690307617|1.16575603336096|581.9083|68.22716|7|224|False
4|4.35619068145752|1.00517015010118|350.7734|16.95384|8|281|False
5|2.58881187438965|0.762234169244766|235.334|26.77875|8|182|False
6|13.474142074585|2.07725462317467|2044.409|75.19626|8|281|False
7|14.2352256774902|1.68781834542751|656|155.49|8|136|True
8|2.61174273490906|0.764407232403755|268.1574|36.35431|8|281|False
9|3.52594709396362|1.42952745854855|444.9287|57.93567|8|168.5|False
10|2.63073539733887|0.809212405979633|249.8723|29.46466|8|281|False
11|2.89679193496704|1.31456075757742|334.8246|48.57208|8|171|False
12|2.64130091667175|0.81586197167635|269.5131|35.44348|8|280.5|False
13|14.5688104629517|2.12431282252073|656|79.79138|7|217.5|True
14|3.24438261985779|1.02708927541971|407.7725|60.66357|8|252.5|False
15|4.00109720230103|1.49703504443169|516.0692|58.15399|8|195|False
16|3.27061653137207|1.09852855205536|407.8954|58.45398|8|252.5|False
17|3.49708938598633|1.39442421495914|476.5124|81.98853|8|256|False
18|2.92437672615051|1.19652590751648|300.9533|33.95703|8|221|False
19|2.93447732925415|2.01893849223852|303.3475|34.29956|8|228.5|False
20|2.85637545585632|0.916140612959862|284.8932|31.70496|8|232.5|False
21|14.7082681655884|2.37668731957674|656|73.30139|8|228.5|True
22|3.1962194442749|1.36442992389202|372.4968|46.5387|8|264|False
23|2.97750353813171|1.46130044460297|300.9788|32.0437|8|228.5|False
24|3.10736155509949|1.39268679618835|337.9464|38.21643|8|204.5|False
25|3.08590078353882|2.04582177698612|335.8237|38.448|8|197|False
26|2.99727988243103|1.22029981911182|332.883|41.63477|8|220|False
27|14.6970920562744|1.73537214696407|656|74.22839|8|228.5|True
28|3.34809589385986|1.15611934661865|404.8018|51.19189|8|178|False
29|2.92649531364441|1.32158267199993|300.6716|33.79077|8|228.5|False
30|3.75852298736572|1.27349257916212|478.109|57.28296|8|232.5|False
