Generation|BestFitness|AverageFitnessPopulation|BestMaxDistance|BestMaxDistanceTime|BestNumberOfWheels|BestCarMass|BestIsRoadComplete
1|3.73401784896851|1.84857441782951|477.4835|54.26357|7|157|False
2|2.76261258125305|0.974975255131721|297.3678|40.05275|8|281|False
3|2.89771485328674|1.1760661303997|297.321|33.87207|8|244.5|False
4|4.49528312683105|1.1120038241148|619.4691|71.64769|8|163.5|False
5|2.77792453765869|0.932499518990517|299.003|39.88959|8|199.5|False
6|3.15231204032898|1.39380457103252|229.7738|15.6297|8|261|False
7|4.24338340759277|1.44892212748528|289.7452|12.81308|8|281|False
8|2.7850193977356|1.13750881254673|367.289|88.452|8|125|False
9|20.3753986358643|3.01219711899757|2980.506|60.33984|8|281|False
10|2.90589690208435|1.42855646908283|300.2582|34.46204|8|217.5|False
11|2.98067164421082|0.930988077819347|334.2339|39.65588|7|249|False
12|3.52143168449402|1.54204492866993|518.5792|131.2187|8|192.5|False
13|11.2830438613892|1.79142045080662|1603.449|58.68146|8|281|False
14|14.6402072906494|2.30070288032293|656|79.33496|8|208.5|True
15|3.04899215698242|0.795373257994652|146.9269|8.249573|8|281|False
16|2.81837487220764|1.06101133972406|297.3028|34.36255|7|167.5|False
17|3.26854872703552|1.21703082025051|157.3429|8.075073|8|281|False
18|2.77880573272705|0.973354487121105|296.7248|38.948|8|251|False
19|2.91587257385254|1.20993895232677|337.5489|48.58252|8|230|False
20|2.77429485321045|0.995485050976276|296.6068|39.13391|8|251|False
21|3.04337763786316|1.56228936910629|334.4049|39.90417|8|254.5|False
22|3.06652903556824|1.11700687855482|365.8777|51.98547|8|251|False
23|2.80638551712036|1.40003973543644|296.3658|37.45667|8|227|False
24|2.33504104614258|0.900195463001728|230.1827|35.36951|8|241|False
25|3.00272107124329|1.24475125670433|332.2884|41.12756|8|184.5|False
26|17.0182628631592|1.60209378600121|2586.681|72.83301|8|281|False
27|2.82075786590576|0.826478359103203|302.4223|39.00647|8|280.5|False
28|2.84032678604126|1.13509654998779|295.1541|35.50842|8|254.5|False
29|2.72043514251709|0.974495807290077|271.6635|32.77856|8|267|False
30|5.02399635314941|1.33626803010702|536.5286|29.67493|8|281|False
