Generation|BestFitness|AverageFitnessPopulation|BestMaxDistance|BestMaxDistanceTime|BestNumberOfWheels|BestCarMass|BestIsRoadComplete
1|3.6264169216156|1.07139645367861|478.7902|57.51469|6|143.5|False
2|3.63838267326355|1.45843998789787|478.8031|56.70557|6|143.5|False
3|3.45962858200073|1.15845234245062|440.613|51.4396|6|143.5|False
4|3.28018569946289|0.951980692148209|404.9018|47.31947|6|143.5|False
5|3.78103446960449|1.02998152077198|514.1428|63.4493|6|143.5|False
6|3.60607099533081|1.20403322726488|478.9385|59.02777|6|143.5|False
7|3.45354914665222|1.26074121892452|440.8434|51.90469|6|143.5|False
8|3.94756603240967|1.00811725109816|548.0045|73.96698|7|180|False
9|3.48137903213501|1.11521349549294|441.0091|50.32434|6|143.5|False
10|3.34051442146301|1.22744137644768|403.1172|46.96906|7|180|False
11|3.69795703887939|1.05488928854465|477.8026|56.72748|7|189.5|False
12|3.65134406089783|1.2511457875371|477.8536|60.07642|7|189.5|False
13|14.6309843063354|1.75380711555481|656|74.18152|7|245|True
14|14.5758571624756|1.74344561696053|656|79.11334|7|245|True
15|14.6320610046387|1.73463564515114|656|74.09125|7|245|True
16|14.6611347198486|1.89402109831572|656|71.73572|7|245|True
17|14.6640758514404|1.84839995801449|656|71.50574|7|245|True
18|14.667670249939|1.92735838592052|656|71.22668|7|245|True
19|14.6475763320923|1.73148364275694|656|72.81531|7|245|True
20|14.6446599960327|1.83416355848312|656|73.05176|7|245|True
21|14.4706211090088|1.84586811959743|626.4851|71.88342|7|245|True
22|14.651686668396|1.63485743105412|656|72.48462|7|245|True
23|14.6454849243164|1.76677588522434|656|72.98474|7|245|True
24|14.6558523178101|1.80131357461214|656|72.15247|7|245|True
25|14.6523513793945|1.59979050755501|656|72.4314|7|245|True
26|14.5136299133301|1.78033474385738|656|85.5321|7|245|True
27|14.6547031402588|1.87276040166616|656|72.24377|7|245|True
28|14.5061941146851|1.93515230566263|623.9111|67.81848|7|245|True
29|14.6390151977539|1.77869000583887|656|73.51392|7|245|True
30|14.6446962356567|1.84278540760279|656|73.04883|7|245|True
