Generation|BestFitness|AverageFitnessPopulation|BestMaxDistance|BestMaxDistanceTime|BestNumberOfWheels|BestCarMass|BestIsRoadComplete
1|3.74880480766296|1.69168737381697|477.4327|57.6395|8|183.5|False
2|3.79413628578186|1.0316194832325|478.9456|55.30069|8|144.5|False
3|4.12472581863403|1.48363061249256|550.2659|65.50293|8|144.5|False
4|3.78622722625732|0.913889996707439|477.1164|55.01094|8|144.5|False
5|4.31223440170288|1.22670027166605|586.7377|69.41893|8|175.5|False
6|14.6623792648315|1.60184269249439|656|77.26321|8|175.5|True
7|14.3409566879272|1.82247042655945|588.1929|67.86899|8|175.5|True
8|14.4655618667603|2.00469286739826|621.6792|75.46185|8|175.5|True
9|14.6148452758789|2.35733973383903|656|81.84534|8|175.5|True
10|14.6515998840332|2.21466180682182|656|78.25671|8|175.5|True
11|14.6335477828979|2.54959894120693|656|79.97906|8|175.5|True
12|14.6356649398804|2.54354162216187|656|79.77319|8|175.5|True
13|14.6693086624146|2.33711858391762|656|76.6377|8|175.5|True
14|14.6649589538574|2.38205767273903|656|77.02911|8|175.5|True
15|14.6393089294434|2.31400455534458|656|79.42126|8|175.5|True
16|14.6576890945435|2.31643169820309|656|77.69238|8|175.5|True
17|14.6845293045044|2.86283529400826|656|75.29883|8|175.5|True
18|14.6759271621704|2.03620276302099|656|76.04968|8|175.5|True
19|14.6229448318481|2.47178501039743|656|81.02649|8|175.5|True
20|14.6327886581421|2.44727205336094|656|80.05322|8|175.5|True
21|14.6457443237305|2.10137148499489|656|78.80725|8|175.5|True
22|14.666729927063|2.57907655537128|656|76.86926|8|175.5|True
23|14.6465244293213|2.25842728018761|656|78.7334|8|175.5|True
24|14.6636619567871|2.26667795777321|656|77.14661|8|175.5|True
25|14.6572208404541|2.5588931709528|656|77.73547|8|175.5|True
26|14.6711778640747|2.10754845142365|656|76.4707|8|175.5|True
27|14.6624488830566|2.20672615766525|656|77.25684|8|175.5|True
28|14.653754234314|2.61315760910511|656|78.05615|8|175.5|True
29|14.6654167175293|2.59590246379375|656|76.98779|8|175.5|True
30|14.6652431488037|2.16397008597851|656|77.00342|8|175.5|True
