Generation|BestFitness|AverageFitnessPopulation|BestMaxDistance|BestMaxDistanceTime|BestNumberOfWheels|BestCarMass|BestIsRoadComplete
1|3.03310465812683|1.31677527874708|336.0642|37.9255|7|105.5|False
2|3.04388451576233|1.16019088923931|336.0688|37.47113|7|105.5|False
3|3.03670263290405|1.41309187710285|336.0836|37.77843|7|105.5|False
4|3.87780284881592|1.3732039436698|508.6212|63.46947|8|205.5|False
5|4.0306453704834|1.14533545523882|545.4086|70.80754|8|205.5|False
6|4.01676845550537|1.30572176575661|545.4186|72.1127|8|205.5|False
7|4.01558494567871|1.3007209867239|545.4308|72.23312|8|205.5|False
8|3.85823392868042|1.09282816946507|508.6196|65.05728|8|205.5|False
9|4.00024652481079|1.1853605940938|545.4449|73.73981|8|205.5|False
10|4.02657222747803|1.22196788340807|545.4249|71.19366|8|205.5|False
11|4.01988124847412|1.19567844569683|545.4094|71.81152|8|205.5|False
12|3.86756014823914|1.10095982402563|508.6167|64.28882|8|205.5|False
13|3.89549541473389|1.53478351533413|516.0928|66.02203|8|205.5|False
14|3.8676278591156|1.52365701496601|508.6182|64.28412|8|205.5|False
15|3.86617612838745|1.06837898790836|508.6199|64.4032|8|205.5|False
16|4.03376340866089|1.46530978083611|545.4335|70.53662|8|205.5|False
17|6.05936098098755|1.22966936975718|469.5916|14.776|8|281|False
18|3.59274482727051|1.55953889191151|472.8868|62.08765|7|169.5|False
19|3.73071837425232|1.8615316465497|511.8189|80.18591|8|220|False
20|3.9112241268158|1.25305961072445|549.1685|86.88708|8|220|False
21|4.01632213592529|1.11193632185459|545.4186|72.15527|8|205.5|False
22|3.99500012397766|1.70022069662809|545.4279|74.25562|8|205.5|False
23|3.94809293746948|1.71821956038475|545.3933|79.29614|8|205.5|False
24|4.01300144195557|1.35335042029619|545.4086|72.46753|8|205.5|False
25|3.89211225509644|1.4780187651515|508.6199|62.35535|8|205.5|False
26|3.86737394332886|1.34252454340458|508.614|64.30249|8|205.5|False
27|4.02205228805542|1.16451773792505|545.4079|71.60596|8|205.5|False
28|5.36688995361328|1.47299525290728|381.8123|13.05566|8|281|False
29|4.11615943908691|1.1640583306551|550.9555|66.53662|8|281|False
30|4.11374616622925|1.2828675031662|550.9404|66.72314|8|281|False
