Generation|BestFitness|AverageFitnessPopulation|BestMaxDistance|BestMaxDistanceTime|BestNumberOfWheels|BestCarMass|BestIsRoadComplete
1|3.12445521354675|1.24972667396069|373.53|47.27398|7|90.5|False
2|4.01577091217041|1.21064748167992|164.3146|6.175236|8|281|False
3|3.66761493682861|1.7164272621274|474.8699|62.48845|8|281|False
4|3.50598168373108|1.11034343540668|442.9772|58.45857|8|281|False
5|3.66817808151245|1.16435033082962|474.8756|62.44528|8|281|False
6|3.51262426376343|1.81204795539379|439.0013|55.97473|8|281|False
7|3.68562030792236|1.34831778258085|474.8684|61.04138|8|281|False
8|3.66171741485596|1.06759343147278|474.872|62.97836|8|281|False
9|3.66129851341248|1.20061042755842|474.865|63.00952|8|281|False
10|3.59945344924927|1.44781667739153|474.8721|68.64697|8|281|False
11|3.64748191833496|1.46127053201199|474.8676|64.18774|8|281|False
12|3.51418328285217|1.3595224738121|438.9983|55.86224|8|281|False
13|3.67271018028259|1.35924105942249|474.8828|62.07922|8|281|False
14|3.64448285102844|1.30116688609123|474.8662|64.44818|8|281|False
15|3.58710408210754|1.50639780759811|474.8692|69.89282|8|281|False
16|3.51701498031616|1.27999715805054|442.9097|57.58557|8|281|False
17|3.65813183784485|1.44858489334583|474.8643|63.27502|8|281|False
18|3.64451026916504|1.32170058339834|474.8639|64.44446|8|281|False
19|3.6710364818573|1.37167071700096|474.8656|62.20605|8|281|False
20|3.6772677898407|1.22885714769363|474.8622|61.70056|8|281|False
21|3.68503522872925|1.68567053824663|474.8931|61.10022|8|281|False
22|3.66770720481873|1.0397562250495|474.8766|62.4845|8|281|False
23|3.64392447471619|1.01906139701605|474.8713|64.5|8|281|False
24|14.5741519927979|1.99890477359295|656|79.27637|7|198.5|True
25|14.5585899353027|1.84783149212599|656|80.79578|7|198.5|True
26|14.5794620513916|1.75895125567913|656|78.77087|7|198.5|True
27|14.6266765594482|2.20386910736561|656|80.65479|8|201.5|True
28|14.5624389648438|2.73655526936054|656|80.41455|7|198.5|True
29|14.3049144744873|2.59687997400761|587.5728|70.47632|8|201.5|True
30|14.435079574585|2.48164664208889|624.5287|73.84155|7|198.5|True
