Generation|BestFitness|AverageFitnessPopulation|BestMaxDistance|BestMaxDistanceTime|BestNumberOfWheels|BestCarMass|BestIsRoadComplete
1|0|0|6,244098|10,52496|7|142,5|False
2|0|0|6,193062|4,503777|7|142,5|False
3|0|0|6,193848|4,206329|7|142,5|False
4|0|0|6,192828|5,265335|7|142,5|False
5|0|0|6,191562|5,086517|7|142,5|False
6|0|0|6,192846|5,068756|7|142,5|False
7|0|0|6,193142|4,242004|7|142,5|False
8|0|0|6,193121|4,247742|7|142,5|False
9|0|0|6,192817|5,373596|7|142,5|False
10|0|0|6,193124|4,239502|7|142,5|False
11|0|0|6,192841|5,543579|7|142,5|False
12|0|0|6,191663|4,520813|7|142,5|False
13|0|0|6,193756|4,145081|7|142,5|False
