Generation|BestFitness|AverageFitnessPopulation|BestMaxDistance|BestMaxDistanceTime|BestNumberOfWheels|BestCarMass|BestIsRoadComplete
1|0|0|124,0131|28,05037|8|172|False
2|0|0|123,9894|27,82101|8|172|False
3|0|0|124,0816|28,0406|8|172|False
4|0|0|123,9489|27,87054|8|172|False
5|0|0|123,8705|28,00261|8|172|False
6|0|0|124,1697|27,96365|8|172|False
7|0|0|123,9523|27,77383|8|172|False
8|0|0|123,8704|27,89639|8|172|False
9|0|0|123,8721|27,7934|8|172|False
10|0|0|123,888|27,75446|8|172|False
11|0|0|124,1543|27,9317|8|172|False
12|0|0|123,8698|28,52301|8|172|False
13|0|0|123,9833|27,96582|8|172|False
