Generation|BestFitness|AverageFitnessPopulation|BestMaxDistance|BestMaxDistanceTime|BestNumberOfWheels|BestCarMass|BestIsRoadComplete
1|9,01325988769531|2,95267791918159|226,0947|28,07222|7|186,5|False
2|9,0126428604126|-5,9627999663353|225,815|27,99318|7|186,5|False
3|9,57624816894531|-1,39367140009999|240,7563|29,58173|6|182|False
4|9,59680461883545|-5,98368270397186|241,1843|29,56271|6|182|False
5|9,58551597595215|-2,75547333657742|240,4863|29,43269|6|182|False
6|9,58149814605713|-6,98194113150239|241,2037|29,67999|6|182|False
7|9,56668472290039|1,69237165004015|240,2254|29,48962|6|182|False
8|9,59554386138916|-0,472648547589779|241,3414|29,61966|6|182|False
9|9,94352531433105|-0,15385639294982|233,1641|28,3212|6|148|False
10|9,94655513763428|-0,987219108641148|233,194|28,30914|6|148|False
11|9,95205783843994|-2,35145983695984|233,1894|28,27002|6|148|False
12|9,94599342346191|-2,2853012830019|233,1987|28,31439|6|148|False
13|9,96992874145508|-7,99050647616386|233,175|28,14386|6|148|False
14|10,0605497360229|1,61123707219958|240,8268|29,36639|6|161|False
15|10,0519847869873|-0,684555152058601|241,2223|29,54761|6|161|False
16|10,0532712936401|-4,20455156564713|241,4784|29,61609|6|161|False
17|10,0482387542725|-0,998117250204086|240,8215|29,45325|6|161|False
18|10,0773792266846|0,549462127685547|241,1618|29,34674|6|161|False
19|10,0773811340332|-3,06306923627853|241,2518|29,37378|6|161|False
20|10,0634574890137|1,68707070350647|241,4149|29,56189|6|160,5|False
21|10,0805292129517|0,0975604861974716|241,2431|29,38708|6|160,5|False
22|10,06321144104|-0,192969915270805|241,2427|29,51147|6|160,5|False
23|10,0811204910278|-2,75178653690964|241,3865|29,42603|6|160,5|False
24|10,1110639572144|-1,86493154764175|239,4893|29,01526|6|147,5|False
25|10,1107120513916|-0,885918486118317|239,5188|29,02649|6|147,5|False
26|10,1305046081543|-1,20523244738579|239,514|28,88647|6|147,5|False
27|10,1328783035278|-2,49396366355941|239,522|28,87231|6|147,5|False
28|10,1168928146362|-1,82652962803841|239,5208|28,98364|6|147,5|False
29|10,1367254257202|-1,34839387834072|239,5026|28,83984|6|147,5|False
30|10,1117181777954|-3,56354434490204|239,511|29,01709|6|147,5|False
31|10,1361560821533|1,28299152813852|239,5107|28,84619|6|147,5|False
32|10,1059494018555|-4,02392501831055|239,5136|29,05847|6|147,5|False
33|10,1329927444458|0,571494142641313|239,5152|28,86951|6|147,5|False
34|10,1091632843018|-4,32320195436478|241,6893|29,50989|5|157,5|False
35|10,1263761520386|-1,45084836110473|239,5144|28,91541|6|147,5|False
36|10,1223640441895|-2,60340608656406|239,5154|28,94373|6|147,5|False
37|10,1036891937256|-3,31897759437561|241,681|29,54688|5|157,5|False
38|10,1166229248047|-3,22952884435654|239,5168|28,98438|6|147,5|False
39|10,1192760467529|-7,72946087121963|239,5153|28,96533|6|147,5|False
40|10,1103057861328|-2,69161191284657|241,0999|29,32422|5|157,5|False
41|10,1605377197266|-1,37171861976385|239,4637|28,66406|6|147,5|False
42|10,1335868835449|-2,5923774689436|239,5164|28,86572|6|147,5|False
43|10,1286029815674|-0,870974993705749|239,5129|28,89941|6|147,5|False
44|10,1288595199585|-2,08585006296635|239,514|28,89795|6|147,5|False
45|10,1127128601074|-0,581043863296509|239,5181|29,01221|6|147,5|False
46|10,1332330703735|-5,17219130992889|239,5097|28,86621|6|147,5|False
47|10,1244859695435|2,19730207300745|239,5181|28,92969|6|147,5|False
48|10,1277751922607|-4,15207144021988|239,5173|28,90649|6|147,5|False
49|10,1262998580933|-0,557442283630371|239,5139|28,91577|6|147,5|False
50|10,112678527832|-3,74982131719589|240,0182|29,15161|6|153|False
51|10,1228265762329|-0,599366556853056|240,1533|29,12012|6|153|False
52|10,1307878494263|-3,05090177059174|240,1458|29,06177|6|153|False
53|10,1319646835327|-2,55692259311909|239,512|28,87573|6|147,5|False
54|10,1270236968994|-3,83126986026764|240,1166|29,07959|6|153|False
55|10,1420373916626|0,126583391427994|240,6253|29,125|6|153|False
56|10,1185865402222|-5,56073600649834|239,5172|28,9707|6|147,5|False
57|10,1112251281738|-0,88229253962636|239,5043|29,01855|6|147,5|False
58|10,1291742324829|-2,52980245649815|239,514|28,89575|6|147,5|False
59|10,1280813217163|-2,8180171251297|240,1876|29,09326|6|153|False
60|10,1161832809448|-4,34981350302696|239,5147|28,98682|6|147,5|False
61|10,1278066635132|-2,51794317793101|239,5131|28,90503|6|147,5|False
62|10,1072950363159|-2,27002538479865|239,5122|29,04858|6|147,5|False
63|10,1321258544922|-0,79153778553009|239,5092|28,87378|6|147,5|False
64|10,1112995147705|-4,04431012868881|239,5151|29,02124|6|147,5|False
65|10,1241788864136|0,0725141629576683|239,5182|28,93188|6|147,5|False
66|10,1317338943481|-2,94536889791489|240,0777|29,03491|6|153|False
67|10,1299715042114|-0,214768987894058|240,1182|29,05933|6|153|False
68|10,1229858398438|-2,84032020494342|239,5065|28,93677|6|147,5|False
69|10,1260118484497|-1,33628676235676|239,5186|28,91919|6|147,5|False
70|10,1208381652832|-4,81527405977249|239,5168|28,95483|6|147,5|False
71|10,1129732131958|-1,85380133852595|239,6826|29,04956|6|153|False
72|10,1227788925171|-3,75371094346046|240,1866|29,13037|6|153|False
73|10,1229953765869|-0,404844932258129|240,1155|29,10767|6|153|False
74|10,1349754333496|-4,2561396420002|239,5077|28,85352|6|147,5|False
75|10,1289386749268|-0,795152279734612|239,5109|28,89648|6|147,5|False
76|10,1356344223022|-3,77299588879105|239,6652|28,88574|6|153|False
77|10,1470193862915|1,03037613034248|239,491|28,76514|6|147,5|False
78|10,1201314926147|-2,84272839426994|239,5125|28,9585|6|147,5|False
79|10,1315078735352|-0,661409984207421|239,5136|28,87939|6|147,5|False
80|10,1322174072266|-2,93712395429611|240,1706|29,05908|6|153|False
81|10,1378145217896|-7,43680746629834|239,51|28,83447|6|147,5|False
82|10,1093006134033|-1,29329734146595|239,5179|29,03613|6|147,5|False
83|10,1172714233398|-4,06763978097588|239,5174|28,97998|6|147,5|False
84|10,1300220489502|-3,02992569804192|240,1925|29,08105|6|153|False
85|10,1084117889404|-0,908667524904013|239,5231|29,04395|6|147,5|False
86|10,1235074996948|-4,00157091319561|239,5197|28,93701|6|147,5|False
87|10,1315059661865|-2,44671619534493|239,5136|28,87939|6|147,5|False
88|10,1279821395874|-3,53828898072243|239,5214|28,90625|6|147,5|False
89|10,108211517334|-1,81927116513252|239,5167|29,04346|6|147,5|False
90|10,1282339096069|-5,39022145271301|239,5125|28,90186|6|147,5|False
91|19,5453262329102|-0,549769269349053|234,0558|29,43066|4|139,5|False
