Generation|BestFitness|AverageFitnessPopulation|BestMaxDistance|BestMaxDistanceTime|BestNumberOfWheels|BestCarMass|BestIsRoadComplete
1|46,0105590820313|11,9954469814897|225,4996|29,4644|8|186|False
2|45,9811668395996|9,81962178498507|225,4069|29,53606|8|186|False
3|50,8951568603516|4,75368981510401|237,1685|28,84065|8|265,5|False
4|50,8602294921875|17,5690862089396|236,979|28,79675|8|265,5|False
5|50,8939514160156|7,61547596156597|237,1961|28,89127|8|265,5|False
6|52,4435997009277|9,78733531320468|246,6178|33,1449|8|215,5|False
7|52,3211364746094|11,176446223259|245,698|32,48434|8|215,5|False
8|52,3307037353516|12,8155072771013|245,692|32,39133|8|215,5|False
9|52,3132858276367|8,67977045662701|245,6932|32,54303|8|215,5|False
10|52,3478546142578|10,413108292222|245,9148|32,65668|8|215,5|False
11|52,3324584960938|10,6554316785187|245,6907|32,37396|8|215,5|False
12|52,3296508789063|7,55844899755903|245,6909|32,39832|8|215,5|False
13|52,3440055847168|5,94183273846866|245,9054|32,67267|8|215,5|False
14|52,3361778259277|12,127363393642|245,8127|32,5675|8|215,5|False
15|106,419418334961|15,6834060013294|250,5622|33,43036|8|265,5|False
16|106,478935241699|9,65518600959331|250,7385|33,50311|8|265,5|False
17|106,529487609863|22,0489886045456|250,8327|33,45807|8|265,5|False
18|106,490074157715|4,93659972399473|250,7498|33,47504|8|265,5|False
19|106,46329498291|11,9549866855145|250,7591|33,61304|8|265,5|False
20|106,533935546875|10,9952882573009|250,9063|33,57996|8|265,5|False
21|106,466735839844|14,0903091467917|250,7681|33,61511|8|265,5|False
22|106,419075012207|11,251248088578|250,6744|33,64844|8|265,5|False
23|106,555686950684|11,8930845919996|250,9057|33,48132|8|265,5|False
24|106,528358459473|13,2965000770986|250,873|33,54077|8|265,5|False
25|106,452949523926|8,49051823280752|250,7156|33,57556|8|265,5|False
26|106,4521484375|16,1256949342787|250,6762|33,50317|8|265,5|False
27|106,462997436523|13,8638363704085|250,7492|33,59521|8|265,5|False
28|106,484504699707|12,8957896805368|250,7906|33,57861|8|265,5|False
29|106,538551330566|12,9562211245298|250,8976|33,54248|8|265,5|False
30|106,482070922852|12,6820137560368|250,7464|33,50427|8|265,5|False
31|106,471633911133|14,7194618299603|250,721|33,5022|8|265,5|False
32|106,562545776367|5,9411166459322|250,9151|33,46863|8|265,5|False
33|106,530906677246|9,67908243276179|250,931|33,64136|8|265,5|False
34|106,480186462402|26,0813370734453|250,7719|33,56189|8|265,5|False
35|106,46720123291|16,8085055544972|250,7596|33,59644|8|265,5|False
36|106,494300842285|12,0572327984497|250,7691|33,49316|8|265,5|False
37|106,534675598145|12,7199032297358|250,9311|33,62451|8|265,5|False
38|106,553649902344|11,0859416157007|250,9592|33,59351|8|265,5|False
39|106,552223205566|15,3812283135951|250,8186|33,33008|8|265,5|False
40|106,538307189941|11,612778480351|250,9428|33,63086|8|265,5|False
41|106,435493469238|7,42568696849048|250,6705|33,56689|8|265,5|False
42|106,474990844727|12,0891720717773|250,7902|33,62061|8|265,5|False
43|106,501922607422|8,84647489385679|250,7583|33,43848|8|265,5|False
44|106,397453308105|12,5989462103695|250,673|33,74365|8|265,5|False
45|106,575492858887|9,71379254572093|250,9121|33,40527|8|265,5|False
46|106,535232543945|11,5581941798329|250,8437|33,45361|8|265,5|False
47|106,463531494141|11,9373591994867|250,6934|33,48535|8|265,5|False
48|106,482948303223|12,6416439870372|250,7555|33,51782|8|265,5|False
49|106,499061584473|16,2300294458866|250,7843|33,50122|8|265,5|False
50|106,473770141602|15,6948957681656|250,7747|33,59619|8|265,5|False
51|106,493110656738|16,738104633987|250,786|33,53101|8|265,5|False
52|106,56591796875|15,0427761478582|250,9422|33,50562|8|265,5|False
53|106,456214904785|13,5388517525047|250,7426|33,61304|8|265,5|False
54|106,763366699219|20,0382010931149|253,9289|36,31812|8|210|False
55|106,537719726563|21,6712285004556|250,9082|33,56665|8|265,5|False
56|106,532035827637|25,6322399109602|250,7546|33,29761|8|265,5|False
57|106,470367431641|17,1655319370329|250,6728|33,41528|8|265,5|False
58|106,529190063477|19,9988167196512|250,8571|33,50635|8|265,5|False
59|106,492835998535|16,4133138686419|250,7718|33,50488|8|265,5|False
60|106,48641204834|26,2956886485219|250,7484|33,48877|8|265,5|False
