Generation|BestFitness|AverageFitnessPopulation|BestMaxDistance|BestMaxDistanceTime|BestNumberOfWheels|BestCarMass|BestIsRoadComplete
1|76,5308303833008|3,82654151916504|3,360096|5,478382|3|102,5|False
2|76,3139114379883|3,81569557189941|3,143178|5,224365|3|102,5|False
3|76,1341781616211|3,80670890808105|2,963445|5,019028|3|102,5|False
4|76,1920547485352|3,80960273742676|3,021324|5,064255|3|102,5|False
5|76,1775283813477|3,80887641906738|3,006797|5,062469|3|102,5|False
6|76,206657409668|3,8103328704834|3,035923|5,099182|3|102,5|False
7|76,3143463134766|3,81571731567383|3,143612|5,204437|3|102,5|False
