Generation|BestFitness|AverageFitnessPopulation|BestMaxDistance|BestMaxDistanceTime|BestNumberOfWheels|BestCarMass|BestIsRoadComplete
1|2.82570648193359|1.1722270488739|335.5821|54.61391|8|141|False
2|3.43760514259338|1.13074005842209|440.7227|57.43628|7|177.5|False
3|3.41584634780884|1.1309917524457|441.0982|65.15269|8|141|False
4|3.48151898384094|1.19429029673338|441.3165|59.50847|8|141|False
5|3.37385940551758|1.13995991498232|441.1144|69.47189|8|141|False
6|3.24243903160095|1.04062490165234|405.6134|54.24777|7|177.5|False
7|3.97717022895813|1.56754901856184|551.9072|80.65274|8|212|False
8|3.32613897323608|1.17313194423914|443.1626|76.8056|8|211|False
9|3.95710301399231|1.20223405361176|551.9981|83.15991|8|212|False
10|3.94973301887512|1.3870564520359|551.9391|84.04681|8|212|False
11|3.03436827659607|1.22681701034307|335.9463|40.90405|8|242.5|False
12|3.15143728256226|1.55290639102459|370.7235|48.49316|8|131|False
13|3.03818368911743|1.12826996743679|335.9478|40.71545|8|242.5|False
14|3.12361311912537|1.31382448673248|370.624|50.27728|8|131|False
15|3.53645181655884|1.62108664512634|443.0727|56.245|8|223|False
16|3.5587375164032|1.25450955927372|443.4846|54.888|8|223|False
17|3.53509664535522|1.12194747626781|443.7084|56.65173|8|223|False
18|3.5224015712738|1.0075179964304|443.6399|57.55066|8|223|False
19|3.39144778251648|1.07329086661339|408.0873|49.90808|8|223|False
20|4.09469413757324|1.50939308702946|552.9176|69.39465|8|223|False
21|4.06960010528564|1.53068541139364|552.5617|71.44043|8|223|False
22|3.53096914291382|1.34214458763599|443.5945|56.89563|8|223|False
23|3.48639726638794|1.5003313601017|443.1504|60.10352|8|223|False
24|3.88605737686157|1.62626760900021|511.6336|59.40784|7|188|False
25|3.88442897796631|1.38584957718849|511.5325|59.47363|7|188|False
26|3.72222352027893|1.95438403487206|480.5233|56.33728|7|188|False
27|3.87962913513184|1.40281037092209|511.6133|59.84509|7|188|False
28|3.72158718109131|1.84358707815409|481.7935|56.95276|7|188|False
29|3.89410448074341|1.73354260325432|511.6143|58.84912|7|188|False
30|4.41543626785278|1.51333941817284|625.4589|82.86328|8|225|False
