Generation|BestFitness|AverageFitnessPopulation|BestMaxDistance|BestMaxDistanceTime|BestNumberOfWheels|BestCarMass|BestIsRoadComplete
1|14.5815668106079|1.92122562527657|656|67.75223|5|122|True
2|14.5697736740112|1.66762398481369|656|68.58765|5|122|True
3|14.5790996551514|1.91109725236893|656|67.92534|5|122|True
4|14.5804481506348|1.66317833065987|656|67.83066|5|122|True
5|14.577618598938|1.62440081685781|656|68.02969|5|122|True
6|14.576717376709|1.78807476460934|656|68.09329|5|122|True
7|14.5791625976563|2.44154601097107|656|67.9209|5|122|True
8|14.5815801620483|2.36061017811298|656|67.75134|5|122|True
9|14.5808982849121|2.27130337059498|656|67.79907|5|122|True
10|14.5817613601685|2.40009707808495|656|67.73865|5|122|True
11|14.5682964324951|2.31924025714397|656|68.69373|5|122|True
12|14.5808458328247|2.40997303724289|656|67.80273|5|122|True
13|14.581958770752|2.87667168974876|656|67.72485|5|122|True
14|14.5769529342651|2.13161773830652|656|68.07666|5|122|True
15|14.578556060791|3.02407585978508|656|67.96362|5|122|True
16|14.5843963623047|2.34059110879898|656|67.55481|5|122|True
17|14.5801115036011|2.37472383677959|656|67.85425|5|122|True
18|14.5802841186523|2.48166619539261|656|67.84216|5|122|True
19|14.5721664428711|2.50329234302044|656|68.4165|5|122|True
20|14.5783357620239|2.31413839757442|656|67.97913|5|122|True
21|14.5761880874634|2.54622251093388|656|68.13074|5|122|True
22|14.5996742248535|3.14686097502708|656|71.32959|6|125|True
23|14.6379375457764|2.04968222379684|656|68.48047|6|125|True
24|14.6400356292725|2.12380636781454|656|68.33081|6|125|True
25|14.6400985717773|2.43304871618748|656|68.32629|6|125|True
26|14.6152944564819|2.48748822808266|656|70.13831|6|125|True
27|14.6416282653809|2.41056071221828|656|68.21765|6|125|True
28|14.6420841217041|2.25211315155029|656|68.1853|6|125|True
29|14.626371383667|2.84305821359158|656|69.31738|6|125|True
30|14.6428842544556|2.42696175277233|656|68.12866|6|125|True
