Generation|BestFitness|AverageFitnessPopulation|BestMaxDistance|BestMaxDistanceTime|BestNumberOfWheels|BestCarMass|BestIsRoadComplete
1|9,938232421875|3,41913187764585|228,3801|26,97467|6|153|False
2|9,93447494506836|-4,18784422874451|228,2695|26,96794|6|153|False
3|9,89309692382813|-2,4551480025053|227,1796|26,92909|6|153|False
4|15,6979455947876|-3,0911818832159|275,4507|7,918808|8|281|False
5|9,91164875030518|-3,89491513520479|226,7185|26,68414|6|153|False
6|9,92127323150635|-4,0616467833519|228,4864|27,11288|6|153|False
7|9,95532512664795|-4,15404259562492|228,4796|26,89365|6|153|False
8|84,9968643188477|-0,365241289138794|3295,404|147,218|8|281|False
9|20,6646022796631|-2,13934322670102|952,6339|87,73157|8|281|False
10|9,93591022491455|-4,76156645370647|227,7097|26,80408|6|153|False
11|9,9592866897583|-0,397682873159647|232,4157|27,99585|8|152|False
12|9,93792915344238|-4,78597572147846|232,3613|28,12482|8|152|False
13|9,94871139526367|-1,11746391355991|232,1177|27,98102|8|152|False
14|9,92817783355713|-4,85925785303116|232,1284|28,12335|8|152|False
15|9,94082641601563|-1,57596894465387|228,4856|26,98743|6|153|False
16|9,94991588592529|-3,9616099357605|232,5006|28,08386|8|152|False
17|9,93873500823975|-3,17600490525365|227,1989|26,64612|6|153|False
18|9,95233821868896|-4,95196843147278|232,2966|28,0083|8|152|False
19|9,97090530395508|-2,99000049829483|232,5573|27,9585|8|152|False
20|9,94212341308594|-3,71241375245154|232,0051|27,99292|8|152|False
21|9,9510498046875|-2,87148299813271|232,4035|28,04797|8|152|False
22|46,243221282959|0,922732293605804|1750,373|79,09937|8|281|False
23|9,96423721313477|-4,38575797975063|232,7902|28,0708|8|152|False
24|9,93069267272949|-4,81475196480751|232,0402|28,08057|8|152|False
25|9,91592121124268|-2,5317353695631|231,9445|28,15332|8|152|False
26|9,92416572570801|-3,41148243695498|232,0005|28,1134|8|152|False
27|9,94308853149414|-3,08514203056693|232,2453|28,05603|8|152|False
28|9,95758819580078|-3,48734528720379|232,5582|28,04858|8|152|False
29|9,9401330947876|0,0188209317624569|232,5375|28,16113|8|152|False
30|9,95303535461426|-3,76759805381298|232,5395|28,07397|8|152|False
31|9,95501041412354|-1,65380168971606|232,2234|27,96912|8|152|False
32|9,95560932159424|-3,73982810340822|232,2517|27,97327|8|152|False
33|80,8567962646484|0,750042281672359|2796,017|71,5575|8|281|False
34|10,3036127090454|-1,31941123083234|240,2565|27,56689|8|161|False
35|10,31139087677|-5,22556099295616|240,2899|27,52686|8|161|False
36|10,2909107208252|-2,45694804042578|240,2823|27,65454|8|161|False
37|10,2929906845093|-3,7526444979012|240,2842|27,64185|8|161|False
38|10,2992582321167|-0,940936556458473|240,2789|27,60059|8|161|False
39|10,2910890579224|-2,92110495269299|240,2819|27,65332|8|161|False
40|10,30592918396|-1,68572234399617|240,3165|27,5686|8|161|False
41|10,3156538009644|-4,61209632158279|240,3105|27,50562|8|161|False
42|43,1904487609863|-0,503099400922656|1427,856|44,41357|8|281|False
43|10,2825012207031|-3,7987615082413|240,2772|27,70679|8|161|False
44|58,6626205444336|-2,15798545777798|2028,473|61,35254|8|281|False
45|11,8968658447266|-2,42466104291379|171,8211|6,60376|8|254|False
46|10,2931385040283|-3,10259263105691|240,2841|27,64087|8|161|False
47|80,5484237670898|2,56670432463288|2427,335|48,02222|8|254|False
