Generation|BestFitness|AverageFitnessPopulation|BestMaxDistance|BestMaxDistanceTime|BestNumberOfWheels|BestCarMass|BestIsRoadComplete
1|297,282531738281|111,879457879066|234,0573|28,36753|7|130,5|False
2|297,398132324219|61,3385672390461|233,5089|28,00692|7|130,5|False
3|297,702545166016|75,1373814225197|234,1093|28,20959|7|130,5|False
4|298,243286132813|66,3570560477674|234,7146|28,31128|7|130,5|False
5|297,085052490234|83,7359303593636|233,5779|28,18372|7|130,5|False
6|318,906219482422|101,586935949326|186,604|5,019348|8|281|False
7|297,393676757813|25,9642234921455|233,6621|28,09464|7|130,5|False
8|297,288238525391|53,7528871238232|234,1996|28,44623|7|130,5|False
9|296,828155517578|53,1162247374654|233,6708|28,3511|7|130,5|False
10|297,957061767578|69,4213898420334|234,062|28,07068|7|130,5|False
11|297,890380859375|74,0947006221861|234,4828|28,33734|7|130,5|False
12|323,727752685547|76,0343688536435|248,4056|11,73633|8|281|False
13|297,147064208984|47,8052780278027|233,5464|28,13849|7|130,5|False
14|298,295196533203|54,9999560981989|234,9566|28,42554|7|130,5|False
15|297,212890625|54,2934400260448|233,55|28,11145|7|130,5|False
16|297,941467285156|42,3536771073937|234,5468|28,35089|7|130,5|False
17|297,742980957031|71,958918428421|234,2112|28,24921|7|130,5|False
18|298,329345703125|80,1663233768195|234,8068|28,32513|7|130,5|False
19|297,920196533203|80,4324458265677|234,6514|28,41992|7|130,5|False
20|298,052429199219|60,3397965695709|234,9142|28,51062|7|130,5|False
21|298,233764648438|60,1536514312029|234,9557|28,45264|7|130,5|False
22|297,799652099609|56,5325240790844|234,3308|28,29163|7|130,5|False
23|297,785339355469|73,9506725620478|234,3126|28,28772|7|130,5|False
24|298,002990722656|89,1696953579783|234,3646|28,22034|7|130,5|False
25|297,773284912109|76,7700564563274|234,4817|28,38916|7|130,5|False
26|298,243560791016|68,8753652721643|234,8099|28,36523|7|130,5|False
27|297,485198974609|52,1803859218955|234,1949|28,35498|7|130,5|False
28|297,569946289063|90,5228832550347|234,4409|28,45728|7|130,5|False
29|299,690277099609|109,495611412823|209,1508|8,235474|8|280,5|False
30|296,875701904297|54,7661925494671|233,2866|28,1123|7|130,5|False
31|297,332061767578|60,5199974805117|233,9936|28,30908|7|130,5|False
32|297,305847167969|82,6151099674404|233,9577|28,30042|7|130,5|False
33|297,221252441406|68,4423485293984|234,2113|28,48315|7|130,5|False
34|298,133514404297|51,6272832691669|234,7945|28,40576|7|130,5|False
35|298,330322265625|94,1849259472452|234,7097|28,26978|7|130,5|False
36|297,295379638672|66,1758923411369|233,9926|28,32495|7|130,5|False
37|297,679016113281|53,7121568590403|234,1053|28,21777|7|130,5|False
38|298,253448486328|68,1015871584415|234,9717|28,45288|7|130,5|False
39|297,311981201172|67,310841062665|233,9261|28,27979|7|130,5|False
40|298,126800537109|67,4385216236115|234,7073|28,35913|7|130,5|False
41|634,727355957031|91,5898967564106|599,3669|60,32104|8|281|False
42|297,889495849609|39,1659034460783|234,3667|28,27197|7|130,5|False
43|297,417114257813|39,1053574323654|234,0992|28,33105|7|130,5|False
44|297,61767578125|49,0473003566265|233,9669|28,16699|7|130,5|False
45|297,306640625|85,4817371722311|234,104|28,3833|7|130,5|False
46|297,880767822266|58,6381285974756|235,4105|28,65674|7|131,5|False
47|297,285034179688|60,6023446369916|234,9086|28,63867|7|131,5|False
48|297,491058349609|55,0575269162655|233,6206|28,02856|7|130,5|False
49|298,294006347656|52,0972893476486|234,7635|28,31641|7|130,5|False
50|298,173065185547|48,305291480571|234,5967|28,27588|7|130,5|False
51|297,763702392578|49,1313232839108|235,4937|28,75903|7|131,5|False
52|602,24365234375|99,4700374275446|531,7584|27,94165|8|270|False
53|297,794036865234|67,3319981113076|235,4146|28,69897|7|131,5|False
54|296,862243652344|94,817785385251|234,9433|28,85449|7|131,5|False
55|297,311340332031|55,0793864816427|235,2742|28,84009|7|131,5|False
56|298,172302246094|65,012786346674|235,2737|28,44507|7|131,5|False
57|297,570526123047|81,6101569414139|235,3864|28,78564|7|131,5|False
58|297,102020263672|61,569867067039|234,9345|28,73804|7|131,5|False
59|296,899810791016|80,0773360133171|235,3517|29,07886|7|131,5|False
60|353,750427246094|71,2183605879545|222,7249|6,049316|8|281|False
61|297,540679931641|46,0449065949768|235,3352|28,76953|7|131,5|False
62|299,385101318359|73,8865513384342|239,5972|29,25146|8|137|False
63|299,586151123047|42,7196972608566|239,8164|29,28711|8|137|False
64|299,958953857422|51,2759676296264|239,9482|29,18555|8|137|False
65|299,434783935547|75,9440791904926|239,8923|29,4082|8|137|False
66|299,784912109375|48,3876981645823|239,9331|29,26123|8|137|False
67|299,911346435547|38,1499809414148|239,9278|29,19629|8|137|False
68|299,694458007813|48,9496641710401|239,8895|29,27881|8|137|False
69|299,302856445313|44,4385639688|239,7255|29,37061|8|137|False
70|734,269714355469|85,2017818704248|667,0791|35,33154|8|281|False
71|298,989898681641|35,4072000864893|239,524|29,40088|8|137|False
72|299,731658935547|60,8860047101974|239,7969|29,2041|8|137|False
73|299,683929443359|51,4976171255112|239,8443|29,25635|8|137|False
74|299,392608642578|52,4372902210802|239,7776|29,3584|8|137|False
75|300,108703613281|47,2209621783346|239,8438|29,0498|8|137|False
76|299,254516601563|80,4460807085037|239,8892|29,49561|8|137|False
77|299,360778808594|72,1653694748879|239,9365|29,47217|8|137|False
78|300,026519775391|64,7154870584607|239,925|29,13867|8|137|False
79|300,356079101563|125,924210774899|239,8154|28,91406|8|137|False
80|299,539367675781|37,6703148502856|239,9435|29,38818|8|137|False
81|311,550384521484|66,5621393032372|233,6635|28,30225|8|106|False
82|311,564758300781|86,5853775501251|232,5797|27,7793|8|106|False
83|312,355499267578|43,4574967332184|234,235|28,28662|8|106|False
84|315,450897216797|63,6752656955272|236,6004|28,44189|8|105,5|False
85|314,423767089844|61,2983412593603|236,0601|28,55322|8|105,5|False
86|315,051025390625|61,7579712808132|235,9266|28,2627|8|105,5|False
87|315,685577392578|84,6966074705124|236,4919|28,30566|8|105,5|False
88|314,957000732422|40,0130116432905|236,1376|28,39746|8|105,5|False
89|315,235412597656|80,4434287980199|235,998|28,23096|8|105,5|False
90|315,177734375|57,2040294289589|235,9446|28,22607|8|105,5|False
91|314,919830322266|62,385347603634|236,2416|28,46094|8|105,5|False
92|315,327911376953|54,1165788173676|235,8996|28,15137|8|105,5|False
93|314,907470703125|96,0528447464108|236,2414|28,46533|8|105,5|False
94|314,628448486328|69,6328073970974|236,1321|28,51367|8|105,5|False
95|315,461395263672|38,4916917107999|236,2123|28,25244|8|105,5|False
96|314,663787841797|51,1154514525086|236,005|28,43945|8|105,5|False
97|314,032165527344|70,1007874727249|235,9685|28,65186|8|105,5|False
98|315,254455566406|51,6714577719569|236,2251|28,33252|8|105,5|False
99|315,182708740234|101,264209909365|235,9401|28,22217|8|105,5|False
100|315,232025146484|39,5402458548546|235,9903|28,22852|8|105,5|False
101|314,412231445313|35,1225893080235|236,0091|28,53271|8|105,5|False
102|314,611633300781|61,8786736540496|235,9527|28,43311|8|105,5|False
103|314,830627441406|64,9968513607979|236,1453|28,44678|8|105,5|False
104|315,243835449219|72,2927582846955|235,993|28,22559|8|105,5|False
105|314,691711425781|51,2097371727228|235,9519|28,40381|8|105,5|False
106|314,299285888672|85,1499327212572|235,883|28,5127|8|105,5|False
107|313,934692382813|76,0247263882309|236,1443|28,77393|8|105,5|False
108|314,532623291016|38,5730262324214|236,2072|28,58496|8|105,5|False
109|314,317901611328|74,822166390717|236,1081|28,61523|8|105,5|False
110|315,544036865234|87,9448451280594|236,2054|28,21973|8|105,5|False
111|315,121551513672|64,1051043614745|236,1316|28,33545|8|105,5|False
112|314,740539550781|84,6311233356595|235,9316|28,37646|8|105,5|False
113|324,6435546875|83,2676595315337|236,4005|28,19971|8|95|False
114|324,801727294922|59,5144489839673|236,6125|28,24219|8|95|False
