Generation|BestFitness|AverageFitnessPopulation|BestMaxDistance|BestMaxDistanceTime|BestNumberOfWheels|BestCarMass|BestIsRoadComplete
1|13,7070932388306|4,66125476341695|234,0941|28,51485|8|160|False
2|13,7331581115723|-5,76642167568207|234,7736|28,70823|8|160|False
3|13,7429676055908|-0,750717927515507|234,7565|28,55717|8|160|False
4|13,7229986190796|-4,46724744588137|234,5733|28,68579|8|160|False
5|13,6994934082031|-0,78305481672287|233,8094|28,38835|8|160|False
6|13,7074680328369|-9,11327920407057|233,8642|28,32303|8|160|False
7|13,676383972168|1,69005604982376|233,4587|28,42279|8|160|False
8|13,7199077606201|-5,63583242893219|234,5167|28,68253|8|160|False
9|13,7531213760376|-0,983001299202442|234,774|28,431|8|160|False
10|13,6783781051636|-2,72498652078211|233,8987|28,75647|8|160|False
11|13,739935874939|1,0371387898922|234,8807|28,70135|8|160|False
12|13,6781616210938|-3,18731334507465|233,7544|28,64014|8|160|False
13|13,7179040908813|-1,20633202046156|233,8765|28,19043|8|160|False
14|13,7354431152344|-0,928550270199776|234,4655|28,42462|8|160|False
15|13,7475347518921|-2,39973456412554|234,9496|28,71991|8|159,5|False
16|13,7065954208374|-1,05028218328953|234,3868|28,76257|8|160|False
17|13,7536153793335|-4,2037845402956|234,9843|28,59521|8|160|False
18|13,6944513320923|-0,359926152229309|233,8536|28,49414|8|160|False
19|13,7601184844971|-3,70091696083546|235,1416|28,70154|8|159,5|False
20|13,7532949447632|-5,2035812266171|234,8512|28,49121|8|160|False
21|13,7403011322021|1,51220378428698|237,2778|31,4436|8|154,5|False
22|13,7688932418823|-13,2339067667723|237,7078|31,38257|8|154,5|False
23|13,7695713043213|-3,43649691790342|237,7094|31,37292|8|154,5|False
24|13,7579393386841|-1,25708911567926|237,7023|31,55981|8|154,5|False
25|13,7540559768677|-2,34816103875637|235,0492|28,64221|8|160|False
26|13,7572803497314|-7,34961696472019|237,6839|31,55298|8|154,5|False
27|13,7514371871948|-2,50359634477645|237,5486|31,51965|8|154,5|False
28|13,7587194442749|-3,05999539345503|237,5483|31,39795|8|154,5|False
29|13,925103187561|-1,65452889217995|238,9521|29,31213|8|161|False
30|13,9342212677002|-3,42211093343794|238,8131|29,06592|8|161|False
31|13,9320335388184|-7,81282192021608|238,91|29,17761|8|161|False
32|13,9551095962524|-0,904602230340242|239,2255|29,1123|8|161|False
33|13,946063041687|-3,00170443337411|238,7972|28,88623|8|161|False
34|13,9266119003296|-7,63109416738152|238,8123|29,17334|8|161|False
35|13,9251050949097|-5,21860812306404|238,9633|29,32153|8|161|False
36|13,9344434738159|-1,36443438380957|238,9879|29,20825|8|161|False
37|13,9293270111084|-2,74347335100174|238,7649|29,09521|8|161|False
38|13,9358577728271|-6,90903275310993|239,017|29,2124|8|161|False
